Nome,Nome Cientifico,Genero,Pastejo Continuo,Pastejo Rotacionado,Pastejo Rotatinuo,Imagem,Caracteristicas,Historico
Azevém,Lolium multiflorum,Lolium,Não recomendado (manejo leniente),20 a 25 cm (entrada) a 8 a 10 cm (saída),18 cm (entrada) a 11 cm (saída - resíduo de 40%),azevem.jpg,"Gramínea anual de inverno, de clima temperado. Possui altíssimo valor nutritivo (alta proteína e digestibilidade). Ressemeia-se naturalmente se bem manejada. Exige solos férteis e boa umidade. Base da pecuária de inverno no Sul do Brasil.","Originário da bacia do Mediterrâneo, foi introduzido no Sul do Brasil por imigrantes europeus. O azevém é o modelo clássico onde o método Rotatínuo (Carvalho, 2013) foi extensamente testado e validado."
Aveia Preta,Avena strigosa,Avena,Não recomendado,30 cm (entrada) a 10 a 15 cm (saída),25 cm (entrada) a 15 cm (saída - resíduo de 40%),aveiapreta.jpg,"Gramínea anual de inverno, muito rústica e de rápido estabelecimento. Fornece forragem de excelente qualidade em períodos de escassez (outono/inverno). Muito consorciada com azevém e usada como planta de cobertura no plantio direto.","Introduzida no Brasil no século XX, tornou-se fundamental no sistema produtivo do Sul e Sudeste, tanto para pastejo direto quanto para cobertura de solo, antecedendo a cultura da soja."
Amendoim Forrageiro,Arachis pintoi,Arachis,Manejo leniente (manter boa cobertura),15 a 20 cm (entrada) a 10 cm (saída),Não disponível,amendoim.jpg,"Leguminosa perene, estolonífera, de crescimento rasteiro. Fixa nitrogênio no solo e oferece forragem rica em proteína. É muito persistente sob pastejo e consorcia bem com gramíneas agressivas como braquiárias e Cynodon. Produz belas flores amarelas.","Nativo do Brasil (vales dos rios São Francisco e Jequitinhonha), foi coletado em 1954 pelo botânico Geraldo Pinto. Cultivares como Belmonte, Amarillo e BRS Mandobi popularizaram seu uso na recuperação de pastagens e conservação de solo."
Estilosantes Campo Grande,Stylosanthes capitata x Stylosanthes macrocephala,Stylosanthes,Manejo ajustado pela gramínea consorciada,Manejo ajustado pela gramínea consorciada,Não disponível,estilosantes.jpg,"Leguminosa tropical composta por uma mistura de duas espécies. Rústica, adapta-se bem a solos arenosos e de baixa fertilidade do Cerrado. Tem excelente capacidade de fixação de nitrogênio e ressemeadura natural. Consorcia muito bem com Brachiaria decumbens e Marandu.",Desenvolvido pela Embrapa Gado de Corte e lançado em 2000. Foi um marco na pecuária nacional por ser a primeira leguminosa tropical realmente viável e persistente em larga escala comercial para consórcio em pastagens no Brasil Central.
Grama-Batatais (Pensacola),Paspalum notatum,Paspalum,10 a 15 cm (máxima) a 5 cm (mínima),15 a 20 cm (entrada) a 5 a 8 cm (saída),Não disponível,batatais.jpg,"Gramínea perene, rizomatosa, de crescimento rasteiro e denso. Extremamente rústica, tolera solos pobres, secas e pisoteio intenso. Valor nutritivo moderado a baixo. Protege o solo contra erosão de forma excepcional.","Espécie nativa das Américas (abundante no Brasil, especialmente no Sul e Sudeste). A cultivar Pensacola foi selecionada na Flórida (EUA) a partir de material sul-americano e reintroduzida. É a base das pastagens naturais em muitas regiões."
Capim-Paiaguás,Brachiaria brizantha cv. BRS Paiaguás (syn. Urochloa brizantha),Brachiaria / Urochloa,35 cm (máxima) a 20 cm (mínima),30 a 40 cm (entrada) a 20 a 25 cm (saída),Não disponível,paiaguas.jpg,"Cultivar de porte médio com colmos finos e alta produção de forragem na seca. Apresenta bom valor nutritivo, elevada produção de sementes e boa adaptação a sistemas de Integração Lavoura-Pecuária-Floresta (ILPF). Tolera bem o período seco mantendo folhas verdes.","Lançado pela Embrapa em 2013, foi selecionado para complementar o Marandu e o Piatã, destacando-se pela produção de forragem durante a entressafra (estação seca) e pela facilidade de dessecação para plantio direto."
Capim-Ipyporã,Brachiaria ruziziensis x B. brizantha cv. BRS Ipyporã,Brachiaria / Urochloa,35 cm (máxima) a 20 cm (mínima),30 a 40 cm (entrada) a 20 cm (saída),Não disponível,ipypora.jpg,"Híbrido de braquiária com resistência às principais cigarrinhas-das-pastagens, alta qualidade de folhas e boa produção. Combina a rusticidade da B. brizantha com a qualidade da B. ruziziensis. Boa cobertura de solo e palatabilidade.",Lançado pela Embrapa e Unipasto em 2017. O nome 'Ipyporã' significa 'aquele que cobre bem a terra' em tupi-guarani. Foi desenvolvido para ser uma alternativa resistente a pragas com elevado valor nutritivo.
Capim-Humidícola (Tupi),Brachiaria humidicola cv. Tupi (syn. Urochloa humidicola),Brachiaria / Urochloa,20 cm (máxima) a 10 cm (mínima),20 cm (entrada) a 10 a 15 cm (saída),Não disponível,humidicola.jpg,"Gramínea estolonífera de crescimento prostrado, extremamente tolerante a solos encharcados, mal drenados e de baixa fertilidade. Forma excelente cobertura de solo. Valor nutritivo relativamente baixo, mas alta resistência ao pisoteio e à seca.","Originária da África Oriental, foi amplamente difundida em áreas úmidas da Amazônia e do Pantanal. A cultivar Tupi foi lançada pela Embrapa com maior produtividade que a humidícola comum."
Capim-Quênia,Panicum maximum cv. BRS Quênia (syn. Megathyrsus maximus),Panicum / Megathyrsus,Não recomendado,65 cm (entrada) a 35 cm (saída),65 cm (entrada) a 39 cm (saída - resíduo de 40%),quenia.jpg,"Gramínea de porte médio-alto com estabelecimento rápido e vigoroso. Folhas largas e macias, com alto valor nutritivo. Apresenta boa produção de forragem e bom perfilhamento, sendo de manejo um pouco mais fácil que o Mombaça.","Lançado pela Embrapa em 2017, foi desenvolvido para oferecer rápido estabelecimento e alta produtividade, sendo indicado para sistemas intensivos de produção de carne e leite."
Capim-Tamani,Panicum maximum cv. BRS Tamani (híbrido),Panicum / Megathyrsus,Não recomendado,50 cm (entrada) a 25 cm (saída),50 cm (entrada) a 30 cm (saída - resíduo de 40%),tamani.jpg,"Primeiro híbrido de Panicum maximum do Brasil. Porte baixo, folhas finas e abundantes, com excelente relação folha/colmo e alto valor nutritivo. Facilita o manejo do pastejo por ser mais baixo, permitindo melhor controle do dossel.","Lançado pela Embrapa em 2015, foi o primeiro cultivar híbrido (apomítico) de Panicum desenvolvido no país, marcando avanço no melhoramento genético de forrageiras tropicais voltado à facilidade de manejo."
Capim-Aruana,Panicum maximum cv. Aruana (syn. Megathyrsus maximus),Panicum / Megathyrsus,Não recomendado,40 a 60 cm (entrada) a 25 a 30 cm (saída),Não disponível,aruana.jpg,"Gramínea de porte baixo a médio, com excelente perfilhamento e rebrota rápida. Muito utilizada para ovinos devido ao seu porte e alta produção de folhas. Boa tolerância ao pastejo frequente e intenso.",Lançado pelo Instituto de Zootecnia (IZ-SP) em 1989. Foi um dos primeiros panicuns de porte baixo voltados para a ovinocultura e bovinocultura de leite em sistemas rotacionados.
Capim-Colonião,Panicum maximum cv. Colonião (syn. Megathyrsus maximus),Panicum / Megathyrsus,Não recomendado,90 cm (entrada) a 40 a 50 cm (saída),Não disponível,coloniao.jpg,"Gramínea de porte muito alto (pode passar de 2 metros), formando grandes touceiras. Alta produção de forragem em solos férteis, mas com manejo difícil e rápida perda de qualidade. Hoje frequentemente considerado planta invasora em áreas degradadas.","Foi a primeira planta da espécie P. maximum a chegar ao Brasil, trazida da África provavelmente junto com o tráfico de escravizados (usado como cama nos navios). Dominou as pastagens brasileiras por décadas antes do advento das braquiárias."
Capim-Andropogon,Andropogon gayanus cv. Planaltina / Baetí,Andropogon,25 a 30 cm (máxima) a 20 cm (mínima),40 a 50 cm (entrada) a 25 cm (saída),Não disponível,andropogon.jpg,"Gramínea cespitosa muito rústica, extremamente tolerante a solos ácidos, com alto teor de alumínio e baixa fertilidade. Apresenta boa tolerância à seca e resistência à cigarrinha. Forragem de valor nutritivo moderado.","Originário da África, a cultivar Planaltina foi lançada pela Embrapa Cerrados em 1980. Foi importante na ocupação de solos arenosos e ácidos do Cerrado onde outras forrageiras não se estabeleciam bem."
Coastcross,Cynodon dactylon (híbrido),Cynodon,15 a 20 cm (máxima) a 10 cm (mínima),20 a 30 cm (entrada) a 10 a 15 cm (saída),Não disponível,coastcross.jpg,Gramínea estolonífera de alta digestibilidade e bom valor nutritivo. Muito usada para fenação de qualidade e pastejo de animais de alta exigência. Responde bem à adubação e irrigação. Plantio por mudas (estolões).,"Desenvolvido por Glenn Burton na Geórgia (EUA) e lançado em 1967, é um híbrido entre Coastal Bermudagrass e uma introdução do Quênia. Foi muito difundido no Brasil para produção de feno de alta qualidade."
Grama-Estrela,Cynodon nlemfuensis,Cynodon,15 a 20 cm (máxima) a 10 cm (mínima),20 a 30 cm (entrada) a 10 a 15 cm (saída),Não disponível,estrela.jpg,"Gramínea estolonífera de crescimento agressivo, formando touceiras com estolões em forma de estrela. Boa produção e qualidade, rústica e resistente à seca. Muito usada em pastagens de bovinos de leite e corte.","Originária da África Oriental, foi introduzida no Brasil e difundida em diversas regiões. Antecede os híbridos Tifton e Coastcross, sendo a base do gênero Cynodon nas pastagens tropicais."
Milheto,Pennisetum glaucum (syn. Cenchrus americanus),Pennisetum / Cenchrus,Não recomendado,50 a 60 cm (entrada) a 20 a 30 cm (saída),Não disponível,milheto.jpg,"Gramínea anual de verão, de rápido crescimento e alta produção de forragem de qualidade. Tolerante à seca e a solos arenosos. Usado para pastejo, silagem, cobertura de solo (plantio direto) e produção de grãos.","Originário da África (região do Sahel), é uma das culturas anuais mais antigas. No Brasil, popularizou-se como planta de cobertura no plantio direto e como forragem de transição entre safras no Centro-Oeste e Sul."
Sorgo Forrageiro,Sorghum bicolor,Sorghum,Não recomendado,60 a 100 cm (entrada) a 30 a 40 cm (saída),Não disponível,sorgo.jpg,"Gramínea anual de verão, de porte alto e alta produção de biomassa. Muito tolerante à seca. Usado principalmente para silagem, mas também para pastejo (cultivares específicas). Atenção ao ácido cianídrico em plantas jovens ou estressadas.","Originário da África, foi domesticado há milhares de anos. No Brasil é amplamente cultivado para silagem como alternativa ao milho em regiões com restrição hídrica, sendo importante na pecuária leiteira e de corte."
Hemártria,Hemarthria altissima,Hemarthria,15 a 25 cm (máxima) a 10 cm (mínima),25 a 30 cm (entrada) a 10 a 15 cm (saída),Não disponível,hemartria.jpg,"Gramínea perene estolonífera, tolerante a solos úmidos e a baixas temperaturas. Boa palatabilidade e cobertura de solo. Adaptada às regiões mais frias do Sul do Brasil, com bom desempenho em várzeas.","Originária da África, foi introduzida no Sul do Brasil e estudada por instituições como a Epagri e Embrapa Clima Temperado como opção perene para áreas úmidas e de clima subtropical."
Leucena,Leucaena leucocephala,Leucaena,Ramoneio (consumo de ramos e folhas pelos animais),Rebaixamento periódico a 50 a 80 cm,Não disponível,leucena.jpg,"Leguminosa arbustiva/arbórea de alto teor proteico, usada em sistemas de pastejo direto (banco de proteína) e silvipastoris. Fixa nitrogênio e tolera bem a seca. Contém mimosina, que exige atenção no manejo para evitar toxidez.","Originária da América Central (México), foi introduzida amplamente nos trópicos. No Brasil é usada em consórcio com gramíneas e em sistemas integrados, especialmente no semiárido nordestino e em sistemas silvipastoris."
Guandu (Feijão-guandu),Cajanus cajan,Cajanus,Ramoneio / banco de proteína,Rebaixamento a 40 a 60 cm,Não disponível,guandu.jpg,"Leguminosa arbustiva de ciclo anual a semiperene, com alto teor de proteína. Muito rústica, tolera seca e solos pobres. Usada como banco de proteína, adubação verde e recuperação de solos degradados.","Originário da Índia/África, é cultivado há milênios. No Brasil, popularizou-se como banco de proteína para a pecuária e como planta recuperadora de solos, com cultivares como o Guandu Anão e o BRS Mandarim."
Calopogônio,Calopogonium mucunoides,Calopogonium,Manejo ajustado pela gramínea consorciada,Manejo ajustado pela gramínea consorciada,Não disponível,calopogonio.jpg,"Leguminosa volúvel/trepadeira de crescimento rápido, usada principalmente como cobertura de solo e em consórcios. Fixa nitrogênio e protege o solo, mas tem palatabilidade moderada (os animais a consomem menos quando há gramínea).","Originária da América Tropical, foi muito utilizada em consórcios em pastagens tropicais e como adubação verde em culturas perenes (cacau, seringueira) na fase de formação."
Trevo-Branco,Trifolium repens,Trifolium,10 a 15 cm (máxima) a 5 cm (mínima),15 a 20 cm (entrada) a 5 a 8 cm (saída),Não disponível,trevobranco.jpg,"Leguminosa perene de clima temperado, estolonífera e rasteira. Tolera umidade e pastejo intenso, mantendo-se por ressemeadura natural. Alto valor nutritivo. Consorcia bem com azevém e gramíneas de inverno no Sul.","Originário da Europa e Ásia, foi introduzido no Sul do Brasil por imigrantes. É uma das principais leguminosas das pastagens cultivadas de inverno na região subtropical brasileira."
Trevo-Vermelho,Trifolium pratense,Trifolium,Não recomendado (manejo leniente),20 a 25 cm (entrada) a 8 a 10 cm (saída),Não disponível,trevovermelho.jpg,"Leguminosa de clima temperado, de ciclo bienal a perene curto, com hábito ereto e touceira. Alto valor nutritivo e boa produção de forragem. Mais sensível ao pastejo intenso que o trevo-branco, preferindo manejo rotacionado.","Originário da Europa, foi introduzido no Sul do Brasil. É utilizado em consórcio com gramíneas de inverno e para produção de feno, contribuindo com fixação de nitrogênio e qualidade da dieta."
Cornichão,Lotus corniculatus,Lotus,Não recomendado (manejo leniente),20 a 25 cm (entrada) a 8 a 10 cm (saída),Não disponível,cornichao.jpg,"Leguminosa perene de clima temperado, com taninos condensados que reduzem o risco de timpanismo (empanzinamento) e melhoram o aproveitamento da proteína. Tolera solos ácidos e mal drenados. Flores amarelas características.","Originário da Europa, foi introduzido no Sul do Brasil e tornou-se importante leguminosa perene de inverno, com cultivares como São Gabriel e Nilo difundidas no Rio Grande do Sul."
Alfafa,Medicago sativa,Medicago,Não recomendado,Corte/pastejo no início do florescimento (~35 a 45 cm) a 5 a 10 cm,Não disponível,alfafa.jpg,"Considerada a 'rainha das forrageiras', é uma leguminosa perene de altíssimo valor nutritivo e produtividade. Exige solos férteis, bem drenados e corrigidos (pH adequado). Usada principalmente para feno e pastejo de animais de alta produção.","Originária da Ásia Central (Pérsia), é uma das forrageiras mais antigas cultivadas pela humanidade. No Brasil é cultivada principalmente no Sul e Sudeste para alimentação de gado leiteiro de alta produção e equinos."
